codigo_produto,descricaoproduto,codigo_familia,preco_venda_unitario,custo_produto_unitario
245800,Luxurious Mens Watches White #742,74  ,64.35,26.69
255200,Modern Sound Equipment Maroon #490,DFM ,8.05,4.3
255400,Elegant Sound Equipment Cyan #273,DFM ,16.35,8.74
268600,Long-Lasting Earrings Orange #860,60  ,35.9,12.25
275800,Fun Pet Food Magenta #851,67  ,0.9,0.34
275900,Sustainable Pet Food Green #656,67  ,1.27,0.49
293000,Useful Jewelry Green #350,69  ,0.25,0.12
356000,Beautiful Home Appliances Gold #775,CC  ,22.5,9.81
357800,Beautiful Home Appliances Navy #371,CC  ,105.8,46.2
369400,Sustainable Earrings Purple #138,60  ,1.15,0.4
395600,Beautiful Laundry Appliances Green #551,31  ,185,96.86
396300,Luxurious Jewelry White #682,69  ,0.25,0.11
396400,Innovative Jewelry Maroon #388,69  ,0.3,0.16
403800,Eco-Friendly Beverages White #912,ELE ,201,89.9
407000,High-Quality Bracelets Maroon #740,27  ,448,200.96
411800,Sophisticated Jewelry Orange #358,69  ,0.29,0.12
419200,Powerful Pet Food Black #394,67  ,24.15,9.35
424300,Stylish Home Appliances Silver #907,CC  ,22.5,9.81
424500,Luxurious Earrings Pink #120,60  ,4.35,1.57
447400,Stylish Pet Food Yellow #992,67  ,0.6,0.24
464100,Versatile Jewelry Purple #434,69  ,0.3,0.12
477500,Versatile Plants and Flowers Silver #662,DSF ,53.4,23.32
491000,Comfortable Mens Watches Gold #193,74  ,74.2,30.79
496700,Luxurious Bracelets Orange #367,27  ,328,147.14
498600,Durable Earrings Red #125,60  ,3.75,1.54
504001,Stylish Earrings Green #774,60  ,8.3,3.51
534000,Beautiful Womens Watches Teal #473,CBE ,2828,1570.77
534600,Beautiful Household Goods Yellow #438,DLR ,26,11.57
539700,Fun Sound Equipment Lime #677,DFM ,8.35,4.48
565100,Beautiful Hand Tools Blue #447,FXA ,165,86.57
571200,Sophisticated Health and Wellness Silver #45,22  ,499.9,354.13
584400,Durable Home Appliances Silver #205,26  ,193,88.67
584500,Fun Home Appliances Navy #748,26  ,148,68.13
589600,Beautiful Mens Watches Lime #842,74  ,86.95,36.08
589800,High-Quality Sound Equipment Olive #533,DFM ,4.95,2.64
615400,Elegant Movies Pink #989,COLH,525,264.04
619800,Stylish Creativity Brown #902,75  ,741,409.85
645400,Versatile Household Goods Teal #520,DLR ,20,8.88
648800,Eco-Friendly Mens Watches White #579,74  ,33.25,13.8
653200,Practical Earrings White #82,60  ,4.6,1.66
659900,Beautiful Books Olive #155,DESA,17.15,9.48
660400,Sustainable Consoles Black #282,CTR ,4.5,2.11
662900,Long-Lasting Bathroom Fixtures Purple #561,0   ,498,268.68
688900,Eco-Friendly Beverages Olive #621,ELE ,176,78.9
691000,Sophisticated Earrings White #54,60  ,20.1,7.27
699700,Powerful Earrings Pink #157,60  ,4.85,1.74
700000,Delicious Jewelry Silver #353,AL  ,173,70.92
702000,Elegant Video Games Teal #267,42  ,5127,2763.14
723600,Modern Earrings Orange #346,60  ,20.1,7.27
